"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"मलकापूर","पिवळा","क्विंटल","238","3755","4360","4265"
"दिग्रस","पिवळा","क्विंटल","53","4045","4275","4185"
"शिरपूर","पिवळा","क्विंटल","1","4400","4400","4400"
"चांदूर बझार","पिवळा","क्विंटल","227","3200","4510","3890"
"दर्यापूर","पिवळा","क्विंटल","300","3400","4350","4200"
"लोणार","पिवळा","क्विंटल","34","4050","4225","4137"
"वरोरा-शेगाव","पिवळा","क्विंटल","94","4000","4300","4300"
"आंबेजोबाई","पिवळा","क्विंटल","120","4000","4300","4250"
"केज","पिवळा","क्विंटल","64","3600","4250","4201"
"औसा","पिवळा","क्विंटल","735","3801","4391","4300"
"औराद शहाजानी","पिवळा","क्विंटल","108","4138","4260","4199"
"कळंब (धाराशिव)","पिवळा","क्विंटल","328","3000","4401","4251"
"मुरुम","पिवळा","क्विंटल","3","4000","4100","4075"
"उमरगा","पिवळा","क्विंटल","3","3500","4000","3750"
"सेनगाव","पिवळा","क्विंटल","49","4050","4300","4200"
"चांदूर-रल्वे.","पिवळा","क्विंटल","131","4275","4400","4300"
"नांदूरा","पिवळा","क्विंटल","150","3551","4241","4241"
"शेगाव","पिवळा","क्विंटल","3","3500","4050","3750"
"बुलढाणा","पिवळा","क्विंटल","30","4000","4200","4100"
"सिंदखेड राजा","पिवळा","क्विंटल","21","4000","4400","4300"
"नेर परसोपंत","पिवळा","क्विंटल","17","4300","4335","4313"
"उमरखेड","पिवळा","क्विंटल","50","4600","4800","4700"
"बाभुळगाव","पिवळा","क्विंटल","80","4001","4500","4251"
"सिंदी(सेलू)","पिवळा","क्विंटल","16","3850","4100","4050"
"देवणी","पिवळा","क्विंटल","12","4180","4270","4225"
"11/09/2025","","","","","",""
"येवला","---","क्विंटल","70","3500","4352","4001"
"लासलगाव","---","क्विंटल","574","3300","4496","4425"
"लासलगाव - विंचूर","---","क्विंटल","232","3000","4500","4475"
"बार्शी","---","क्विंटल","58","4200","4400","4300"
"नांदेड","---","क्विंटल","30","3800","4260","4205"
"माजलगाव","---","क्विंटल","165","3900","4352","4300"
"राहूरी -वांबोरी","---","क्विंटल","5","4100","4100","4100"
"उदगीर","---","क्विंटल","2767","4300","4420","4360"
"अचलपूर","---","क्विंटल","275","3939","4225","4078"
"परळी-वैजनाथ","---","क्विंटल","35","4100","4300","4260"
"लोहा","---","क्विंटल","5","4000","4276","4250"
"तुळजापूर","---","क्विंटल","125","4200","4200","4200"
"मानोरा","---","क्विंटल","251","4100","4450","4350"
"मोर्शी","---","क्विंटल","304","3800","4100","3950"
"राहता","---","क्विंटल","25","4300","4389","4350"
"पिंपळगाव(ब) - पालखेड","हायब्रीड","क्विंटल","142","500","4531","4470"
"अमरावती","लोकल","क्विंटल","1194","4000","4250","4125"
"नागपूर","लोकल","क्विंटल","6","4100","4300","4250"
"राहूरी","लोकल","क्विंटल","8","3600","3600","3600"
"कोपरगाव","लोकल","क्विंटल","88","4150","4403","4323"
"मेहकर","लोकल","क्विंटल","170","3800","4305","4200"
"लासलगाव - निफाड","पांढरा","क्विंटल","34","3551","4401","4391"
"जालना","पिवळा","क्विंटल","424","3651","4260","4200"
"अकोला","पिवळा","क्विंटल","801","3900","4415","4285"
"यवतमाळ","पिवळा","क्विंटल","145","4070","4280","4175"
"परभणी","पिवळा","क्विंटल","65","4300","4350","4325"
"मालेगाव","पिवळा","क्विंटल","15","4279","4299","4299"
"चिखली","पिवळा","क्विंटल","45","3450","4200","3800"
"हिंगणघाट","पिवळा","क्विंटल","1052","3100","4385","3450"
"बीड","पिवळा","क्विंटल","34","3750","4300","4117"
"वाशीम","पिवळा","क्विंटल","1800","3920","4350","4000"
"वाशीम - अनसींग","पिवळा","क्विंटल","300","4000","4250","4150"
"उमरेड","पिवळा","क्विंटल","298","4000","4300","4170"
"वर्धा","पिवळा","क्विंटल","19","3855","4300","4150"
